test_index,posterior_probability,predictive_entropy,status
163,0.35760592775560546,0.6520282810028852,correct
164,0.3872371809618136,0.6674961875633605,correct
165,0.5288602512350078,0.6914804261278058,incorrect
166,0.4107002605575969,0.6771124039392509,incorrect
167,0.6319416787741945,0.6579141938183801,correct
168,0.5113355391218523,0.6928901696466214,incorrect
169,0.5426683067107444,0.6895015794709674,correct
170,0.5030802816220503,0.6931282041701683,correct
171,0.5817954732093776,0.679705849757258,correct
172,0.5170569763050306,0.6925651867642475,incorrect
173,0.4608977212138963,0.6900860794235375,correct
174,0.5030202734160918,0.6931289363459787,incorrect
175,0.6515405936391253,0.6464877312957475,incorrect
176,0.3429072118930103,0.6429450083947762,incorrect
177,0.3675042729196668,0.6576140398185908,correct
178,0.5703595904348233,0.6832132987970647,correct
179,0.4595241799592062,0.6898670084626806,correct
180,0.44101434041749904,0.6861723331781977,incorrect
181,0.6773199178427758,0.6288731474916927,incorrect
182,0.4185097237434591,0.6798064186289989,incorrect
183,0.5323536969130443,0.6910521937529862,incorrect
184,0.5058670752525475,0.6930783338359356,incorrect
185,0.4463671912486217,0.6873831409526105,incorrect
186,0.42120377548111787,0.6806775733756318,correct
187,0.5238985882682038,0.6920044601812003,incorrect
188,0.4540880229154946,0.6889254168313171,correct
189,0.39636619822862956,0.6715107497112776,correct
190,0.4105664452235285,0.6770640500690777,incorrect
191,0.5846626743524151,0.6787423432611636,correct
192,0.3251661909346726,0.6307024323195012,correct
193,0.4658899945445491,0.690818387294146,correct
194,0.4180790563978621,0.6796643935612787,correct
195,0.7309677260472285,0.5822939404814129,correct
196,0.4638974675358514,0.6905381250117699,correct
197,0.22723254548404148,0.5359107111334402,incorrect
198,0.24554099878848812,0.5573831982223509,correct
199,0.43938285808342,0.6857801961033452,correct
200,0.41952664688163593,0.6801387544528774,correct
201,0.6086130385459075,0.6693644503725354,correct
202,0.5888214108269743,0.6772846420532898,correct
