method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,train_n,repeat
L1 Logistic,500,0.021668875007890165,0.008181375043932348,0.515,0.515,0.5387555555555555,0.5221674876847291,500,2
Linear SVM,500,1.2329041250050068,0.008769957988988608,0.53,0.53,0.5390444444444444,0.5422077922077922,500,2
RBF-SVM,500,0.1869440830196254,0.12813299999106675,0.5366666666666666,0.5366666666666666,0.5656777777777778,0.5487012987012987,500,2
Random Forest,500,0.17196362500544637,0.05426100001204759,0.61,0.61,0.6625722222222222,0.5979381443298969,500,2
Logistic Regression,500,0.014083332964219153,0.008747833024244756,0.5383333333333333,0.5383333333333333,0.5498777777777778,0.5375626043405676,500,3
L1 Logistic,500,0.021482374984771013,0.008182791993021965,0.555,0.5549999999999999,0.5792111111111111,0.545144804088586,500,3
Linear SVM,500,1.03883733402472,0.008127416018396616,0.535,0.5349999999999999,0.5400555555555556,0.5342237061769616,500,3
RBF-SVM,500,0.1891648750170134,0.12774025002727285,0.555,0.5549999999999999,0.5978277777777778,0.5512605042016807,500,3
Random Forest,500,0.16790624998975545,0.054465249995701015,0.64,0.6399999999999999,0.6759833333333333,0.6375838926174496,500,3
Logistic Regression,500,0.02187454199884087,0.008288250013720244,0.5466666666666666,0.5466666666666666,0.5796,0.5018315018315018,500,4
L1 Logistic,500,0.02582433301722631,0.009947124985046685,0.525,0.525,0.5283777777777777,0.5177664974619289,500,4
Linear SVM,500,0.9363990419660695,0.009852167044300586,0.5566666666666666,0.5566666666666666,0.5834444444444445,0.5163636363636364,500,4
RBF-SVM,500,0.1912467500078492,0.12886462500318885,0.56,0.56,0.5828444444444445,0.52,500,4
Random Forest,500,0.17824433400528505,0.05548450001515448,0.6283333333333333,0.6283333333333334,0.6682388888888888,0.6161790017211703,500,4
Logistic Regression,500,0.145315500034485,0.008827083045616746,0.57,0.5700000000000001,0.593,0.5656565656565656,1000,0
L1 Logistic,500,0.034486374992411584,0.009934332978446037,0.58,0.5800000000000001,0.5914666666666667,0.5670103092783505,1000,0
Linear SVM,500,0.25359191600000486,0.00832037499640137,0.5716666666666667,0.5716666666666667,0.5992333333333333,0.5752066115702479,1000,0
RBF-SVM,500,0.7425162080326118,0.24616124999010935,0.5683333333333334,0.5683333333333334,0.6150555555555556,0.5479930191972077,1000,0
Random Forest,500,0.27882845798740163,0.0555159579962492,0.645,0.645,0.7180111111111112,0.6295652173913043,1000,0
Logistic Regression,500,0.1143906670040451,0.011360583011992276,0.5266666666666666,0.5266666666666666,0.5404111111111112,0.5202702702702703,1000,1
L1 Logistic,500,0.03714545798720792,0.008281917020212859,0.5516666666666666,0.5516666666666667,0.5778,0.5509181969949917,1000,1
Linear SVM,500,0.7037889579660259,0.008692792034707963,0.5283333333333333,0.5283333333333333,0.5376777777777777,0.525963149078727,1000,1
RBF-SVM,500,0.7408540839678608,0.24808549997396767,0.5383333333333333,0.5383333333333333,0.5796888888888888,0.534453781512605,1000,1
Random Forest,500,0.2931004589772783,0.05459141597384587,0.645,0.645,0.7175944444444445,0.6513911620294599,1000,1
Logistic Regression,500,0.16909362497972324,0.00879066699417308,0.5516666666666666,0.5516666666666666,0.5635555555555556,0.5432937181663837,1000,2
L1 Logistic,500,0.03968412498943508,0.008932999975513667,0.565,0.565,0.5950111111111112,0.5642737896494157,1000,2
Linear SVM,500,0.8731143749901094,0.008074999961536378,0.555,0.555,0.5616666666666668,0.5527638190954773,1000,2
RBF-SVM,500,0.7424149590078741,0.24748387502040714,0.5583333333333333,0.5583333333333333,0.6014666666666667,0.5546218487394958,1000,2
Random Forest,500,0.2667891249875538,0.054543750011362135,0.665,0.665,0.7149888888888889,0.6338797814207651,1000,2
