component,explained_variance_ratio,cumulative_explained_variance
417,0.000915280937030272,0.9497638779928506
418,0.0009087323110246149,0.9506726103038752
419,0.0009051755600527701,0.9515777858639279
420,0.0009019985551144225,0.9524797844190424
421,0.000895932394604687,0.9533757168136471
422,0.0008895626492694168,0.9542652794629165
423,0.0008883064384638822,0.9551535859013804
424,0.0008825800814002616,0.9560361659827807
425,0.0008820203323428166,0.9569181863151236
426,0.0008686210843832941,0.957786807399507
427,0.0008656971478102029,0.9586525045473171
428,0.0008588781370192751,0.9595113826843363
429,0.0008548948176540533,0.9603662775019904
430,0.000851752498685329,0.9612180300006757
431,0.0008442195695125841,0.9620622495701884
432,0.000840431805516826,0.9629026813757052
433,0.000830874499084145,0.9637335558747894
434,0.000829013421262262,0.9645625692960517
435,0.0008254946981896792,0.9653880639942414
436,0.0008197561608375537,0.9662078201550789
437,0.0008112827562088168,0.9670191029112877
438,0.0008073282727146726,0.9678264311840024
439,0.0007998211484158851,0.9686262523324183
440,0.0007979897705807831,0.969424242102999
441,0.0007910640981576633,0.9702153062011567
442,0.0007795377118383981,0.9709948439129951
443,0.0007791715559479021,0.9717740154689429
444,0.0007754294000681849,0.9725494448690111
445,0.0007683428985201245,0.9733177877675312
446,0.0007640725034626493,0.9740818602709939
447,0.000759891093136936,0.9748417513641308
448,0.0007594651546208716,0.9756012165187516
449,0.0007564212955510958,0.9763576378143027
450,0.0007510491972022217,0.977108687011505
451,0.0007474392364226964,0.9778561262479277
452,0.0007434304512727326,0.9785995566992005
453,0.0007357914215196666,0.9793353481207202
454,0.0007276849526867073,0.9800630330734069
455,0.0007260805961607761,0.9807891136695677
456,0.0007200667239917032,0.9815091803935594
457,0.0007093742265373343,0.9822185546200968
458,0.0007087198129030427,0.9829272744329998
459,0.0007014113941416736,0.9836286858271415
460,0.0006916038988331443,0.9843202897259746
461,0.0006887885939585115,0.9850090783199331
462,0.0006859386538047759,0.9856950169737378
463,0.0006821713875934642,0.9863771883613313
464,0.0006781167737991609,0.9870553051351304
465,0.0006657823750576774,0.9877210875101881
466,0.0006602264836506281,0.9883813139938387
467,0.0006525135266575445,0.9890338275204962
468,0.0006469279915725136,0.9896807555120687
469,0.0006412179923890923,0.9903219735044578
