method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,feature_selection,k,classifier
Permutation Importance + Gradient Boosting,10,0.48352554196026176,0.003001291013788432,0.775,0.775,0.8601722222222222,0.773109243697479,Permutation Importance,10,Gradient Boosting
Permutation Importance + Logistic Regression,20,0.006859249959234148,0.0009661249932833016,0.5983333333333334,0.5983333333333334,0.6313555555555556,0.6016528925619835,Permutation Importance,20,Logistic Regression
Permutation Importance + Linear SVM,20,0.005307124985847622,0.0011022500111721456,0.6,0.6000000000000001,0.6308111111111111,0.6026490066225165,Permutation Importance,20,Linear SVM
Permutation Importance + RBF-SVM,20,0.519424166996032,0.06041649996768683,0.845,0.845,0.9271222222222222,0.8436974789915966,Permutation Importance,20,RBF-SVM
Permutation Importance + Random Forest,20,0.2235321250045672,0.07326208299491554,0.885,0.885,0.9562055555555555,0.8866995073891626,Permutation Importance,20,Random Forest
Permutation Importance + Gradient Boosting,20,0.8373143749777228,0.0032630839850753546,0.7933333333333333,0.7933333333333333,0.8747666666666668,0.7933333333333333,Permutation Importance,20,Gradient Boosting
Permutation Importance + Logistic Regression,50,0.008393333991989493,0.0017993749934248626,0.5783333333333334,0.5783333333333334,0.6189333333333333,0.5733558178752108,Permutation Importance,50,Logistic Regression
Permutation Importance + Linear SVM,50,0.011327791959047318,0.002206082979682833,0.5766666666666667,0.5766666666666667,0.6178666666666668,0.5709459459459459,Permutation Importance,50,Linear SVM
Permutation Importance + RBF-SVM,50,1.082530667015817,0.17045616696123034,0.7183333333333334,0.7183333333333333,0.8004777777777777,0.722495894909688,Permutation Importance,50,RBF-SVM
Permutation Importance + Random Forest,50,0.27499841700773686,0.07176320801954716,0.86,0.86,0.9349722222222222,0.8604651162790697,Permutation Importance,50,Random Forest
Permutation Importance + Gradient Boosting,50,1.901308834028896,0.004193625005427748,0.7683333333333333,0.7683333333333333,0.8400666666666666,0.7754442649434572,Permutation Importance,50,Gradient Boosting
Permutation Importance + Logistic Regression,100,0.011422584007959813,0.0026317500160075724,0.5816666666666667,0.5816666666666667,0.6118888888888889,0.5709401709401709,Permutation Importance,100,Logistic Regression
Permutation Importance + Linear SVM,100,0.022254582960158587,0.0024339999654330313,0.585,0.585,0.6114555555555556,0.5772495755517827,Permutation Importance,100,Linear SVM
Permutation Importance + RBF-SVM,100,1.1178545409929939,0.2092841659905389,0.6816666666666666,0.6816666666666666,0.7488166666666667,0.6800670016750419,Permutation Importance,100,RBF-SVM
Permutation Importance + Random Forest,100,0.3589428749983199,0.0720529580139555,0.82,0.8200000000000001,0.9055500000000001,0.8169491525423729,Permutation Importance,100,Random Forest
Permutation Importance + Gradient Boosting,100,3.5640277909697033,0.004262166970875114,0.7533333333333333,0.7533333333333334,0.8343888888888888,0.756578947368421,Permutation Importance,100,Gradient Boosting
Permutation Importance + Logistic Regression,200,0.02831745898583904,0.003804582986049354,0.5366666666666666,0.5366666666666666,0.5825333333333332,0.5335570469798657,Permutation Importance,200,Logistic Regression
Permutation Importance + Linear SVM,200,0.04541441600304097,0.00445091602159664,0.5383333333333333,0.5383333333333333,0.5826888888888888,0.534453781512605,Permutation Importance,200,Linear SVM
Permutation Importance + RBF-SVM,200,1.50640775001375,0.23668362497119233,0.5866666666666667,0.5866666666666667,0.6669166666666667,0.581081081081081,Permutation Importance,200,RBF-SVM
Permutation Importance + Random Forest,200,0.43214441603049636,0.07518408301984891,0.7866666666666666,0.7866666666666666,0.8767333333333334,0.7815699658703071,Permutation Importance,200,Random Forest
Permutation Importance + Gradient Boosting,200,6.8028996249777265,0.006276542029809207,0.765,0.765,0.8483777777777779,0.7646076794657763,Permutation Importance,200,Gradient Boosting
Permutation Importance + Logistic Regression,500,0.1646276250248775,0.010593415994662791,0.58,0.58,0.5994111111111111,0.5757575757575758,Permutation Importance,500,Logistic Regression
Permutation Importance + Linear SVM,500,0.16224908299045637,0.009643625002354383,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,Permutation Importance,500,Linear SVM
Permutation Importance + RBF-SVM,500,3.2912965830182657,0.48893083300208673,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,Permutation Importance,500,RBF-SVM
Permutation Importance + Random Forest,500,0.7126544170314446,0.07789945800323039,0.745,0.745,0.820061111111111,0.7366609294320138,Permutation Importance,500,Random Forest
Permutation Importance + Gradient Boosting,500,16.260617792024277,0.009968375030439347,0.7566666666666667,0.7566666666666666,0.8406444444444445,0.7558528428093646,Permutation Importance,500,Gradient Boosting
RFE + Logistic Regression,5,0.0023681249585933983,0.0007387090008705854,0.52,0.52,0.5280222222222222,0.49825783972125437,RFE,5,Logistic Regression
RFE + Linear SVM,5,0.0024715419858694077,0.000972250010818243,0.52,0.52,0.5281333333333333,0.49825783972125437,RFE,5,Linear SVM
RFE + RBF-SVM,5,0.5746337089804001,0.09570329199777916,0.5233333333333333,0.5233333333333333,0.5285055555555556,0.4664179104477612,RFE,5,RBF-SVM
RFE + Random Forest,5,0.21156583400443196,0.06972370902076364,0.48333333333333334,0.48333333333333334,0.5019111111111111,0.4798657718120805,RFE,5,Random Forest
RFE + Gradient Boosting,5,0.22568558400962502,0.003011166991200298,0.52,0.52,0.5356277777777778,0.4782608695652174,RFE,5,Gradient Boosting
