feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V318,2.560990060580198,0.10968806569415325,0.007805777570099259,0.061838549913789155,0.0015447259778961781,0.002200000000000002,0.0027495454169735064,0.3333333333333333,3,78,100,55,357,188,51
V319,0.04399280711286555,0.8338883796872701,0.0,0.0,0.0068065591434353576,0.01080000000000001,0.0028565713714171423,0.5,2,421,247,299,18,13,2
V320,0.09765987407259208,0.7546887688209448,0.0028815321733839383,0.0,0.001581926866627039,0.0064000000000000055,0.0024979991993593614,0.1,10,392,181,299,335,32,401
V321,0.9428165248596169,0.3316720840751673,0.0007092519060156732,0.00778777423486968,0.0017183778961052582,0.00020000000000000017,0.002271563338320112,0.16666666666666666,6,180,231,249,253,331,201
V322,1.9994306227843968,0.15751410316765083,0.0,0.03893223316882575,0.0019742057996848736,0.002400000000000002,0.0024979991993593614,0.25,4,104,247,115,111,174,101
V323,0.3503776742750903,0.5539663868061716,0.003868770441949998,0.0,0.0018905005537374032,-0.0010000000000000009,0.0033763886032268293,0.14285714285714285,7,296,163,299,147,413,251
V324,8.392836176469364,0.0038080229289695,0.003552548852938653,0.13831029942879197,0.0022153011790256366,-0.0008000000000000007,0.0040199502484483595,0.5,2,14,169,3,48,398,2
V325,0.13218107231496118,0.7162197249219934,0.004257349238454555,0.0,0.0017981566319388753,0.0018000000000000017,0.004044749683231341,0.09090909090909091,11,371,156,299,199,213,451
V326,0.008667948082232748,0.9258320092941793,0.0,0.0027346016007061846,0.0014910857511925796,0.0020000000000000018,0.0023664319132398488,0.14285714285714285,7,465,247,285,386,200,251
V327,0.20643875884833132,0.6496224580963562,0.0,0.007728299617773093,0.0021215583097523518,0.0032000000000000028,0.0025612496949731422,0.1111111111111111,9,338,247,250,60,113,351
V328,0.17082280989797857,0.6794259365299459,0.0024126506557524685,0.006440219852071548,0.0015803854089772537,0.0028000000000000026,0.003600000000000003,0.16666666666666666,6,356,188,262,336,136,201
V329,1.0174227578209225,0.3132532561591971,0.0,0.003432406306492326,0.0014716154641001707,0.0006000000000000005,0.0028354893757515675,0.09090909090909091,11,175,247,280,395,299,451
V330,4.766849021924446,0.029128877194991434,0.011505692710621851,0.051080542099319726,0.001978690965578558,0.006800000000000006,0.002039607805437116,0.16666666666666666,6,29,54,82,108,26,201
V331,0.7710392129221789,0.3800013331907471,0.0035380674903802145,0.03284181223182819,0.0019438714606231082,0.006000000000000005,0.0034641016151377574,0.2,5,210,170,137,124,38,151
V332,0.2017837516506242,0.6533336089557287,0.0,0.0,0.0014559892436553327,0.005400000000000005,0.0032310988842807055,0.09090909090909091,11,340,247,299,401,45,451
V333,0.8043307837362611,0.36990972876827566,0.0070288488166729834,0.0,0.0006331423634321254,0.0018000000000000017,0.0006000000000000006,0.1111111111111111,9,208,115,299,490,213,351
V334,3.2881352640236963,0.06993221525827763,0.01082721765834993,0.05716368452192821,0.0020564838979833275,-0.001200000000000001,0.0020396078054371156,0.25,4,56,58,68,88,424,101
V335,0.5093662023981477,0.4754967085494135,0.004520870027483692,0.014328790614812702,0.0029411188450066033,0.0036000000000000034,0.0036660605559646754,0.14285714285714285,7,251,152,221,20,99,251
V336,0.28249116032949934,0.5951321347512244,0.0,0.0,0.0013606920700259709,0.004800000000000004,0.0016000000000000014,0.14285714285714285,7,319,247,299,434,54,251
V337,47.04506603645758,9.217496311271356e-12,0.01596971293941296,0.0,0.009095976269992163,0.007000000000000006,0.0046690470119715045,0.5,2,3,27,299,11,24,2
V338,0.0697934003555081,0.7916650728798965,0.006434262704339222,0.0051362291204904076,0.0017731305836231677,0.0040000000000000036,0.0037947331922020587,0.16666666666666666,6,402,121,271,210,84,201
V339,30.081219012421144,4.669031530885037e-08,0.029130665928875032,0.0,0.015410663865852582,0.03119999999999994,0.006399999999999973,0.5,2,7,2,299,3,1,2
V340,0.0028278145492720594,0.957596038173807,0.0,0.0022356191859277453,0.0016744954965460539,0.0032000000000000028,0.002039607805437116,0.14285714285714285,7,477,247,287,284,113,251
V341,0.8819830331239112,0.3477726336609482,0.003626702578301888,0.0461172820112846,0.0017552084435637468,0.002400000000000002,0.0028000000000000026,0.3333333333333333,3,191,168,94,222,174,51
V342,0.8972740034903923,0.343628251256901,0.0021238565844203805,0.0,0.002181979519945616,0.00020000000000000017,0.002088061301782112,0.09090909090909091,11,189,194,299,53,331,451
V343,0.008793853326198954,0.9252968586874366,0.0,0.008818117173624365,0.0018687422390197806,-0.0010000000000000009,0.0022360679774997916,0.2,5,464,247,241,158,413,151
V344,2.1319389745483406,0.14441538800265652,0.0,0.0628272645193537,0.002443902112737493,-0.0032000000000000028,0.0032496153618543867,0.3333333333333333,3,98,247,53,31,490,51
V345,0.11404709598788486,0.7356182721695382,0.0,0.03207486823926521,0.0017001138726533778,0.0,0.0029664793948382677,0.25,4,383,247,141,265,345,101
V346,0.0013439563661013635,0.9707597564274457,0.008879455869335473,0.0,0.0015729845309989125,0.006800000000000006,0.0029933259094191557,0.14285714285714285,7,489,84,299,344,26,251
V347,0.35921797053246796,0.5490088293076862,0.0,0.0,0.001594530245886504,0.0,0.0012649110640673528,0.1111111111111111,9,292,247,299,326,345,351
V348,3.7881916621964167,0.051755391960021574,0.00972247674211868,0.07041557824051682,0.0015136447649589566,0.004800000000000004,0.0034871191548325416,0.5,2,46,69,39,370,54,2
V349,2.71423880379786,0.09961364580381162,0.0010634648470388974,0.08418127068588455,0.0021366188725856178,0.007600000000000007,0.0038781438859330666,0.5,2,71,224,21,58,21,2
V350,1.5913452625869116,0.20728129623012953,0.009604803309096077,0.04285751601269954,0.002545961013474239,0.0026000000000000025,0.0028354893757515675,0.3333333333333333,3,128,70,102,28,156,51
V351,0.19673074344777453,0.6574207630294185,0.0,0.009573731445054034,0.0014045406402233525,0.0028000000000000026,0.002227105745132011,0.1111111111111111,9,344,247,237,418,136,351
V352,0.15698958111559133,0.6919857052461884,0.0024196154077520404,0.0,0.001647124193274359,0.0020000000000000018,0.003346640106136305,0.1111111111111111,9,361,187,299,302,200,351
V353,1.607407303470933,0.20500436375887301,0.00674609603818066,0.038886365293367496,0.0017434008777371353,-0.00040000000000000034,0.0029393876913398165,0.25,4,126,118,116,232,377,101
V354,0.4472044073438278,0.5037427886848749,0.0,0.02343372979584075,0.0014984085721047992,-0.00020000000000000017,0.0016613247725836165,0.2,5,266,247,183,383,365,151
V355,0.45905945486925787,0.49814231204373516,0.0,0.0,0.0019007679192240463,0.0028000000000000026,0.004308131845707607,0.1,10,260,247,299,143,136,401
V356,0.16151850986217128,0.6878052776521395,0.0,0.0,0.0017396697205010162,0.00020000000000000017,0.002441311123146743,0.1111111111111111,9,358,247,299,233,331,351
V357,0.18128884704624043,0.6703138168799958,0.012189330934967657,0.0,0.0018551083765535063,0.004600000000000004,0.003693237062523881,0.09090909090909091,11,351,47,299,166,59,451
V358,0.4255937280426045,0.5142340426097723,0.0,0.012343570845626251,0.0007830176736361861,0.0,0.0,0.2,5,273,247,224,485,345,151
V359,0.44066079591851604,0.5068802793931558,0.00256946353800247,0.025731334910253808,0.0020849759574891815,-0.004200000000000004,0.0022715633383201114,0.2,5,269,186,171,74,497,151
V360,0.8202099854812644,0.36522797543097385,0.0,0.027424116238093064,0.002121048860537215,0.006200000000000006,0.0034000000000000033,0.14285714285714285,7,201,247,163,61,34,251
V361,0.20794713048470526,0.6484307610336285,0.0,0.0,0.0018500198973902128,0.0020000000000000018,0.0020000000000000018,0.09090909090909091,11,337,247,299,171,200,451
V362,0.7473405677232386,0.3874233054622978,0.0,0.023462030464235277,0.002015391065097946,0.00040000000000000034,0.0024979991993593614,0.2,5,214,247,181,94,314,151
V363,0.0026756743226320307,0.9587514571003213,0.0,0.0,0.002115458036286101,-0.0032000000000000028,0.0020396078054371156,0.1111111111111111,9,479,247,299,66,490,351
V364,0.9384529907253759,0.33279326001523946,0.003960141364965697,0.02759484687397193,0.0016762652324759848,0.0016000000000000014,0.003322649545167233,0.25,4,181,162,162,282,230,101
V365,0.10343745909931933,0.7477765472738322,0.0,0.00861158359095499,0.0011133663303125384,0.0,0.0008944271909999167,0.2,5,389,247,243,464,345,151
V366,0.9290021205660599,0.3352389963627313,0.0,0.007454841665484988,0.0017067767434106932,0.004600000000000004,0.0032310988842807055,0.14285714285714285,7,184,247,251,263,59,251
V367,0.19533605869510154,0.6585599111488987,0.010936212548571689,0.0,0.001460710893399052,-0.0006000000000000005,0.0023748684174075855,0.14285714285714285,7,345,57,299,400,391,251
V368,0.015851514794532433,0.8998215342317655,0.0002527061089852012,0.0,0.0017713717617434414,0.004600000000000004,0.0028354893757515675,0.125,8,451,239,299,211,59,301
V369,0.048413976280312396,0.8258688965263368,0.013617644782917715,0.0,0.0016803685925942354,0.004400000000000004,0.0021540659228538035,0.125,8,415,41,299,278,70,301
V370,0.057801366492107493,0.8100300006963665,0.0,0.0,0.0014182928416902614,0.0038000000000000035,0.003026549190084314,0.1111111111111111,9,407,247,299,412,89,351
V371,0.8615132187955801,0.35342768703593475,0.0,0.0234089392677545,0.0019382132900546537,0.0020000000000000018,0.0017888543819998333,0.16666666666666666,6,195,247,184,129,200,201
V372,0.002580284814304261,0.9594927542215477,0.00614706326466985,0.0,0.001770769668247467,0.0018000000000000017,0.002088061301782112,0.09090909090909091,11,480,126,299,212,213,451
V373,0.08420392791437305,0.7717093135184641,0.0,0.0,0.001686414051694487,0.0036000000000000034,0.0021540659228538035,0.1111111111111111,9,396,247,299,271,99,351
V374,0.1842384588727673,0.6678020749777177,0.0,0.0,0.0017689921433254455,0.0026000000000000025,0.0026907248094147442,0.09090909090909091,11,348,247,299,214,156,451
V375,0.8798672778106048,0.3483514060101746,0.012389292502355875,0.034147532980081635,0.0016632717377125317,0.0008000000000000007,0.0029933259094191557,0.2,5,192,45,134,292,285,151
V376,1.3844221227904232,0.2394894915206148,0.005959779384212993,0.01743661413539222,0.0021102064965341054,0.003400000000000003,0.0028354893757515675,0.16666666666666666,6,140,131,206,68,106,201
V377,0.23737834693209425,0.6261595035741155,0.0,0.020315856880924892,0.0013181639651909415,0.0026000000000000025,0.0018000000000000017,0.16666666666666666,6,333,247,193,441,156,201
V378,4.626920889247341,0.03159358410455377,0.0,0.09245900101996554,0.0017452720036446997,0.0,0.0033466401061363056,0.5,2,31,247,14,231,345,2
V379,27.233676547285782,1.9898138458819804e-07,0.0,0.0,0.009630677589003198,0.02579999999999998,0.003155946767611865,0.5,2,9,247,299,8,3,2
V380,0.797736469116534,0.37187855414715104,0.0011252669634442825,0.016107461900297205,0.0017349316082710324,0.0,0.0012649110640673528,0.125,8,209,223,211,240,345,301
V381,0.0001506795335246188,0.9902073114571642,0.0,0.0,0.0014197648354816982,0.00020000000000000017,0.0006000000000000006,0.09090909090909091,11,496,247,299,411,331,451
